song_id,song_name,type_name,singer_name,url,song_fig
68,bad guy,流行,Billie Eilish,https://music.163.com/#/song?id=1355147933,images/song/68.jpg
69,No Time To Die,流行,Billie Eilish,https://music.163.com/#/song?id=1423123512,images/song/69.jpg
70,Six Feet Under,流行,Billie Eilish,https://music.163.com/#/song?id=418603177,images/song/70.jpg
71,wish you were gay,流行,Billie Eilish,https://music.163.com/#/song?id=1350051594,images/song/71.jpg
72,Yellow,摇滚,Coldplay,https://music.163.com/#/song?id=17177324,images/song/72.jpg
73,Hymn For The Weekend [Remix],摇滚,Coldplay,https://music.163.com/#/song?id=419594258,images/song/73.jpg
74,Everglow,摇滚,Coldplay,https://music.163.com/#/song?id=37239018,images/song/74.jpg
75,STAY,流行,Justin Bieber,https://music.163.com/#/song?id=1859245776,images/song/75.jpg
76,Love Yourself,流行,Justin Bieber,https://music.163.com/#/song?id=36496695,images/song/76.jpg
77,What Do You Mean?,流行,Justin Bieber,https://music.163.com/#/song?id=34228719,images/song/77.jpg
78,Lonely,流行,Justin Bieber,https://music.163.com/#/song?id=1487478840,images/song/78.jpg
79,Stuck with U,流行,Justin Bieber,https://music.163.com/#/song?id=1446764662,images/song/79.jpg
80,History,嘻哈说唱,Rich Brian,https://music.163.com/#/song?id=1293953338,images/song/80.jpg
81,Midsummer Madness,嘻哈说唱,Rich Brian,https://music.163.com/#/song?id=571339219,images/song/81.jpg
82,Love In My Pocket,嘻哈说唱,Rich Brian,https://music.163.com/#/song?id=1460966070,images/song/82.jpg
83,100 Degrees,嘻哈说唱,Rich Brian,https://music.163.com/#/song?id=1380100797,images/song/83.jpg
84,Love The Way You Lie,嘻哈说唱,Eminem,https://music.163.com/#/song?id=1297841,images/song/84.jpg
85,I Need a Doctor,嘻哈说唱,Eminem,https://music.163.com/#/song?id=2416737,images/song/85.jpg
86,Lose Yourself,嘻哈说唱,Eminem,https://music.163.com/#/song?id=5052317,images/song/86.jpg
87,Everybody Dies In Their Nightmares,嘻哈说唱,XXXTENTACION,https://music.163.com/#/song?id=501133800,images/song/87.jpg
88,Jocelyn Flores,嘻哈说唱,XXXTENTACION,https://music.163.com/#/song?id=501133798,images/song/88.jpg
89,Sad!,嘻哈说唱,XXXTENTACION,https://music.163.com/#/song?id=542667209,images/song/89.jpg
90,Lemon,流行,米津玄师,https://music.163.com/#/song?id=536622304,images/song/90.jpg
91,打上花火,流行,米津玄师,https://music.163.com/#/song?id=496869422,images/song/91.jpg
92,Butter-Fly,二次元,和田光司,https://music.163.com/#/song?id=4940920,images/song/92.jpg
93,世界が終るまでは,二次元,WANDS,https://music.163.com/#/song?id=27495025,images/song/93.jpg
94,unravel,二次元,TK from 凛冽时雨,https://music.163.com/#/song?id=29017078,images/song/94.jpg
95,DDU-DU DDU-DU,流行,BLACKPINK,https://music.163.com/#/song?id=1325896374,images/song/95.jpg
96,Kill This Love,流行,BLACKPINK,https://music.163.com/#/song?id=1397226690,images/song/96.jpg
97,DNA,流行,BTS防弹少年团,https://music.163.com/#/song?id=506094567,images/song/97.jpg
98,I NEED U,流行,BTS防弹少年团,https://music.163.com/#/song?id=31654637,images/song/98.jpg
99,Celebrity,流行,IU,https://music.163.com/#/song?id=1815389717,images/song/99.jpg
100,Blueming,流行,IU,https://music.163.com/#/song?id=1404511131,images/song/100.jpg
